scenario,shock,delay,total_shock,LT,close_factor,liq_bonus,slippage,liquidatable_rate,bad_debt_rate
base,-0.2,1,-0.22,0.8,0.8,0.05,0.0,0.484,0.10724223282779047
severe,-0.3,2,-0.35,0.8,0.8,0.05,0.0,0.8964,0.18379061522560583
crisis,-0.4,3,-0.5,0.8,0.8,0.05,0.0,0.9972,0.26046715267759524
mild,-0.1,0,-0.1,0.8,0.8,0.05,0.02,0.1141,0.028070783501799833
base,-0.2,1,-0.22,0.8,0.8,0.05,0.02,0.484,0.10724315492150417
severe,-0.3,2,-0.35,0.8,0.8,0.05,0.02,0.8964,0.18459993058786778
crisis,-0.4,3,-0.5,0.8,0.8,0.05,0.02,0.9972,0.27057625072276004
mild,-0.1,0,-0.1,0.8,0.8,0.05,0.05,0.1141,0.028070783501799833
base,-0.2,1,-0.22,0.8,0.8,0.05,0.05,0.484,0.10724453806207473
severe,-0.3,2,-0.35,0.8,0.8,0.05,0.05,0.8964,0.1865342191364332
crisis,-0.4,3,-0.5,0.8,0.8,0.05,0.05,0.9972,0.28707666338021365
mild,-0.1,0,-0.1,0.8,0.8,0.08,0.0,0.1141,0.028070783501799833
base,-0.2,1,-0.22,0.8,0.8,0.08,0.0,0.484,0.10724351351350396
severe,-0.3,2,-0.35,0.8,0.8,0.08,0.0,0.8964,0.18501279271876309
crisis,-0.4,3,-0.5,0.8,0.8,0.08,0.0,0.9972,0.2747121145553412
mild,-0.1,0,-0.1,0.8,0.8,0.08,0.02,0.1141,0.028070783501799833
base,-0.2,1,-0.22,0.8,0.8,0.08,0.02,0.484,0.10724440999350338
severe,-0.3,2,-0.35,0.8,0.8,0.08,0.02,0.8964,0.18631254396735097
crisis,-0.4,3,-0.5,0.8,0.8,0.08,0.02,0.9972,0.285487650874931
mild,-0.1,0,-0.1,0.8,0.8,0.08,0.05,0.1141,0.028070783501799833
base,-0.2,1,-0.22,0.8,0.8,0.08,0.05,0.484,0.10725193351502767
severe,-0.3,2,-0.35,0.8,0.8,0.08,0.05,0.8964,0.18928150357833962
crisis,-0.4,3,-0.5,0.8,0.8,0.08,0.05,0.9972,0.30278815402869563
mild,-0.1,0,-0.1,0.8,0.8,0.12,0.0,0.1141,0.028070783501799833
base,-0.2,1,-0.22,0.8,0.8,0.12,0.0,0.484,0.10724567174139725
severe,-0.3,2,-0.35,0.8,0.8,0.12,0.0,0.8964,0.18768440523130486
crisis,-0.4,3,-0.5,0.8,0.8,0.12,0.0,0.9972,0.2943771982591478
mild,-0.1,0,-0.1,0.8,0.8,0.12,0.02,0.1141,0.028070783501799833
base,-0.2,1,-0.22,0.8,0.8,0.12,0.02,0.484,0.1072564101504708
severe,-0.3,2,-0.35,0.8,0.8,0.12,0.02,0.8964,0.18992865052272292
crisis,-0.4,3,-0.5,0.8,0.8,0.12,0.02,0.9972,0.30580027175026087
mild,-0.1,0,-0.1,0.8,0.8,0.12,0.05,0.1141,0.028070783501799833
base,-0.2,1,-0.22,0.8,0.8,0.12,0.05,0.484,0.10734404446908369
severe,-0.3,2,-0.35,0.8,0.8,0.12,0.05,0.8964,0.1947439528433044
crisis,-0.4,3,-0.5,0.8,0.8,0.12,0.05,0.9972,0.32389823686886676
mild,-0.1,0,-0.1,0.85,0.3,0.05,0.0,0.039,0.03642717265955998
base,-0.2,1,-0.22,0.85,0.3,0.05,0.0,0.2988,0.24359521363417708
